0.000694444,0.2
0.001041667,0.27
0.001388889,0.3
0.001736111,0.34
0.002083333,0.37
0.002777778,0.41
0.003472222,0.45
0.004166667,0.48
0.005555556,0.53
0.006944444,0.57
0.008333333,0.6
0.009722222,0.63
0.0125,0.67
0.016666667,0.72
0.020833333,0.76
0.027777778,0.81
0.034722222,0.85
0.041666667,0.9
0.055555556,0.93
0.069444444,0.96
0.083333333,1
0.104166667,1.04
0.125,1.07
0.145833333,1.1
0.166666667,1.12
0.167361111,0.89
0.168055556,0.81
0.16875,0.76
0.170138889,0.68
0.171527778,0.64
0.173611111,0.56
0.177083333,0.49
0.180555556,0.45
0.1875,0.38
0.194444444,0.34
0.208333333,0.28
0.222222222,0.24
0.236111111,0.21
0.263888889,0.17
0.291666667,0.14
